"iso3c","year","pop","urban","rural"
"MWI",2042,32289974,10530045.2703988,28222537.0636718
"MWI",2043,32904194,11024100.2712299,28694082.7968617
"MWI",2044,33515465,11536512.383164,29162504.8913986
"MWI",2045,34126156,12066675.1918968,29625638.4692141
"MWI",2046,34735673,12613989.1402133,30078233.3769667
"MWI",2047,35344273,13180592.4824087,30524530.8058819
"MWI",2048,35952327,13766189.3762815,30962214.462502
"MWI",2049,36557676,14369962.795228,31390380.4224317
"MWI",2050,37159300,14994329.8178383,31812446.0094781
"MUS",1990,1090290,449407.038494346,573381.393941062
"MUS",1991,1104259,453056.755706768,581810.064486683
"MUS",1992,1118714,457899.874319978,590526.264979253
"MUS",1993,1133252,463130.883510464,600713.698277171
"MUS",1994,1147161,470430.915974305,613309.727230964
"MUS",1995,1160207,475846.982478127,622785.416740289
"MUS",1996,1172542,480158.493256532,632095.055017219
"MUS",1997,1184257,484301.971615958,640214.075154295
"MUS",1998,1194880,487496.652383503,648370.547670059
"MUS",1999,1205413,490726.414929987,656578.28478704
"MUS",2000,1215930,493128.716291234,661728.060003454
"MUS",2001,1225272,495034.57191546,668491.567586626
"MUS",2002,1233972,496785.988661007,674070.400300817
"MUS",2003,1242340,498259.735660125,678294.991709194
"MUS",2004,1250380,498484.46072394,682136.630464339
"MUS",2005,1258048,500243.233962456,686741.682352343
"MUS",2006,1264767,500999.788893923,691302.034287738
"MUS",2007,1270584,502113.98852811,696355.376740145
"MUS",2008,1275684,503510.273704146,701803.895008482
"MUS",2009,1279868,503483.171702082,705654.020570871
"MUS",2010,1283330,504711.960290806,708930.672547201
"MUS",2011,1286236,503809.56527418,712919.713023116
"MUS",2012,1288745,503632.603812236,714613.829733578
"MUS",2013,1290691,502703.590557306,717592.35944157
"MUS",2014,1292113,502950.593330459,719890.597803753
